id.orig_h,host,method,uri
172.29.0.116,pinardisticaret.com,GET,/jqCBSmVw/index.html
172.29.0.116,talenttechcareers.com,GET,/iwUsQfez/js.js
172.29.0.116,telecrop.com,GET,/search.php?page=73a07bcb51f4be71
172.29.0.116,telecrop.com,GET,/content/adfp2.php?f=126
172.29.0.116,telecrop.com,GET,/content/field.swf
172.29.0.116,fpdownload2.macromedia.com,GET,/get/flashplayer/update/current/xml/version_en_win_ax.xml
172.29.0.116,telecrop.com,GET,/content/rino.jar
172.29.0.116,telecrop.com,GET,/com.class
172.29.0.116,telecrop.com,GET,/edu.class
172.29.0.116,telecrop.com,GET,/net.class
172.29.0.116,telecrop.com,GET,/org.class
172.29.0.116,telecrop.com,GET,/d.php?f=126&e=0
172.29.0.116,neoprenolen.com,POST,/pony/gate.php
172.29.0.116,airplains.com,GET,/melt.exe
172.29.0.116,airportsys.com,GET,/melt.exe
172.29.0.116,eurostats2012.net,GET,/melt.exe
172.29.0.116,ewpetro.com,GET,/melt.exe
172.29.0.116,www.ewpetro.com,GET,/melt.exe
172.29.0.116,telecrop.com,GET,/search.php?page=73a07bcb51f4be71
172.29.0.116,172.29.0.1,GET,/IGatewayDeviceDescDoc
172.29.0.116,172.29.0.1,GET,/L3ForwardingDescDoc
172.29.0.116,172.29.0.1,GET,/WanCommonIFCDescDoc
172.29.0.116,172.29.0.1,GET,/WanEthernetLinkCfgDescDoc
172.29.0.116,172.29.0.1,GET,/WanIPConnectionDescDoc
172.29.0.116,172.29.0.1,POST,/WANIPConnCtrlUrl
172.29.0.116,172.29.0.1,POST,/WANIPConnCtrlUrl
172.29.0.116,telecrop.com,GET,/content/adfp2.php?f=126
172.29.0.116,telecrop.com,GET,/content/field.swf
172.29.0.116,telecrop.com,GET,/d.php?f=126&e=4
172.29.0.116,telecrop.com,GET,/content/rino.jar
172.29.0.116,neoprenolen.com,POST,/pony/gate.php
172.29.0.116,telecrop.com,GET,/com.class
172.29.0.116,airplains.com,GET,/melt.exe
172.29.0.116,telecrop.com,GET,/edu.class
172.29.0.116,telecrop.com,GET,/net.class
172.29.0.116,telecrop.com,GET,/org.class
172.29.0.116,telecrop.com,GET,/d.php?f=126&e=0
172.29.0.116,airportsys.com,GET,/melt.exe
172.29.0.116,neoprenolen.com,POST,/pony/gate.php
172.29.0.116,airplains.com,GET,/melt.exe
172.29.0.116,eurostats2012.net,GET,/melt.exe
172.29.0.116,ewpetro.com,GET,/melt.exe
172.29.0.116,www.ewpetro.com,GET,/melt.exe
172.29.0.116,airportsys.com,GET,/melt.exe
172.29.0.116,eurostats2012.net,GET,/melt.exe
172.29.0.116,ewpetro.com,GET,/melt.exe
172.29.0.116,www.ewpetro.com,GET,/melt.exe
172.29.0.116,85.86.198.106,POST,/index.php
172.29.0.116,dejangorgievski.com,GET,/pomk/24.exe
172.29.0.116,190.9.35.199,GET,/view.php?rnd=787736
172.29.0.116,85.86.198.106,POST,/index.php
172.29.0.116,85.86.198.106,POST,/index.php
172.29.0.116,85.86.198.106,POST,/index.php
172.29.0.116,85.86.198.106,POST,/index.php
172.29.0.116,85.86.198.106,POST,/index.php
172.29.0.116,85.86.198.106,POST,/index.php
172.29.0.116,85.86.198.106,POST,/index.php
172.29.0.116,172.29.0.1,GET,/IGatewayDeviceDescDoc
172.29.0.116,172.29.0.1,GET,/L3ForwardingDescDoc
172.29.0.116,172.29.0.1,GET,/WanCommonIFCDescDoc
172.29.0.116,172.29.0.1,GET,/WanEthernetLinkCfgDescDoc
172.29.0.116,172.29.0.1,GET,/WanIPConnectionDescDoc
172.29.0.116,172.29.0.1,POST,/WANIPConnCtrlUrl
172.29.0.116,172.29.0.1,POST,/WANIPConnCtrlUrl
172.29.0.116,172.29.0.1,GET,/IGatewayDeviceDescDoc
172.29.0.116,172.29.0.1,GET,/L3ForwardingDescDoc
172.29.0.116,172.29.0.1,GET,/WanCommonIFCDescDoc
172.29.0.116,172.29.0.1,GET,/WanEthernetLinkCfgDescDoc
172.29.0.116,172.29.0.1,GET,/WanIPConnectionDescDoc
172.29.0.116,172.29.0.1,POST,/WANIPConnCtrlUrl
172.29.0.116,172.29.0.1,POST,/WANIPConnCtrlUrl
172.29.0.116,172.29.0.1,GET,/IGatewayDeviceDescDoc
172.29.0.116,172.29.0.1,GET,/L3ForwardingDescDoc
172.29.0.116,172.29.0.1,GET,/WanCommonIFCDescDoc
172.29.0.116,172.29.0.1,GET,/WanEthernetLinkCfgDescDoc
172.29.0.116,172.29.0.1,GET,/WanIPConnectionDescDoc
172.29.0.116,172.29.0.1,POST,/WANIPConnCtrlUrl
172.29.0.116,172.29.0.1,POST,/WANIPConnCtrlUrl
